#{"t_start": 1674041693.2879937, "env_id": null}
r,l,t
1.757,27,63.089168
1.883,13,63.150302
1.892,12,63.208633
1.874,14,63.274009
1.883,13,63.334871
1.955,5,63.359214
1.928,8,63.397453
1.928,8,63.435235
1.937,7,63.468475
1.937,7,63.501861
1.667,37,63.672587
1.892,12,63.72868
1.883,13,63.789379
1.91,10,63.836395
1.91,10,63.88335
1.874,14,63.948514
1.874,14,64.014991
-0.9,100,64.48267
1.856,16,64.557045
1.811,21,64.654023
1.91,10,64.70093
1.883,13,64.76189
1.874,14,64.826936
1.874,14,64.892246
1.901,11,64.943698
1.901,11,64.995058
1.874,14,65.060328
-0.9,100,65.527254
1.919,9,65.570496
1.91,10,65.618173
1.847,17,65.69684
1.919,9,65.739125
1.901,11,65.790737
1.856,16,65.865033
1.928,8,65.902739
1.928,8,65.940478
1.91,10,65.987215
1.946,6,66.015893
1.946,6,66.04454
1.946,6,66.073188
1.937,7,66.106806
1.937,7,66.140147
1.847,17,66.218815
1.829,19,66.30671
1.919,9,66.348991
-0.9,100,66.816941
1.874,14,66.883586
1.946,6,66.912482
1.964,4,66.931916
1.946,6,66.96092
1.946,6,66.989891
1.712,32,67.138161
1.928,8,67.176152
1.946,6,67.204805
1.901,11,67.256285
1.964,4,67.275717
1.946,6,67.304383
1.919,9,67.346804
1.82,20,67.439604
-0.9,100,67.898709
1.91,10,67.947596
1.883,13,68.010251
1.91,10,68.058488
1.676,36,68.225378
1.928,8,68.263263
1.802,22,68.364934
1.856,16,68.439043
1.892,12,68.498372
1.82,20,68.592252
1.901,11,68.643714
1.82,20,68.73607
1.766,26,68.856515
1.874,14,68.921646
1.757,27,69.046722
1.883,13,69.108405
1.919,9,69.151644
1.919,9,69.195534
-0.9,100,69.655497
1.901,11,69.707436
1.829,19,69.795477
1.892,12,69.851429
1.883,13,69.912049
1.919,9,69.95443
