#{"t_start": 1674041575.6380377, "env_id": null}
r,l,t
1.892,12,90.919234
1.775,25,91.034713
1.928,8,91.072679
1.955,5,91.097202
1.838,18,91.181828
1.955,5,91.206271
1.946,6,91.235442
-0.9,100,91.701295
1.937,7,91.7346
1.928,8,91.772289
1.937,7,91.805557
1.856,16,91.879787
1.703,33,92.031829
1.955,5,92.055966
1.883,13,92.116521
1.856,16,92.191281
1.883,13,92.252105
1.919,9,92.29447
1.919,9,92.336912
1.784,24,92.449466
1.676,36,92.620706
1.901,11,92.673305
1.901,11,92.725678
-0.9,100,93.182752
-0.9,100,93.641034
1.838,18,93.725169
-0.9,100,94.191301
1.874,14,94.256683
1.928,8,94.294462
1.928,8,94.332269
1.892,12,94.388221
-0.9,100,94.846094
1.712,32,94.996171
1.919,9,95.039398
1.829,19,95.130477
1.892,12,95.187958
1.811,21,95.285903
1.793,23,95.392066
1.892,12,95.447951
1.811,21,95.545331
1.955,5,95.569446
1.928,8,95.607301
1.766,26,95.727578
1.748,28,95.857104
1.847,17,95.935954
1.829,19,96.023926
-0.9,100,96.490427
1.793,23,96.596781
1.919,9,96.639271
-0.9,100,97.098212
1.595,45,97.305877
-0.9,100,97.77378
1.901,11,97.825244
1.865,15,97.894984
1.928,8,97.932807
1.73,30,98.071531
1.919,9,98.113897
-0.9,100,98.573136
1.703,33,98.726807
1.919,9,98.769436
1.676,36,98.940646
1.847,17,99.020795
1.532,52,99.26045
1.946,6,99.289046
1.901,11,99.340711
1.838,18,99.424657
1.91,10,99.471549
1.847,17,99.550251
1.874,14,99.615386
1.748,28,99.745177
1.91,10,99.792135
-0.9,100,100.256596
1.928,8,100.294564
1.577,47,100.514393
1.865,15,100.584164
1.919,9,100.626485
-0.9,100,101.085128
1.631,41,101.276392
1.883,13,101.339251
-0.9,100,101.803491
1.847,17,101.882476
1.901,11,101.934126
1.658,38,102.10998
1.883,13,102.170658
1.883,13,102.231177
1.892,12,102.287354
1.514,54,102.537972
1.73,30,102.680827
1.775,25,102.798511
-0.9,100,103.255058
-0.9,100,103.718115
-0.9,100,104.184277
-0.9,100,104.641248
1.91,10,104.688311
-0.9,100,105.152972
-0.9,100,105.613906
1.91,10,105.660831
1.865,15,105.73087
1.568,48,105.951864
1.559,49,106.177356
1.703,33,106.331199
1.793,23,106.440812
1.748,28,106.575429
1.901,11,106.626978
1.883,13,106.687834
-0.9,100,107.146606
-0.9,100,107.609404
1.829,19,107.700707
1.901,11,107.753783
1.757,27,107.879455
1.757,27,108.004219
1.919,9,108.046604
1.919,9,108.088905
1.829,19,108.176794
1.928,8,108.214718
-0.9,100,108.672047
1.811,21,108.770295
1.928,8,108.80859
1.82,20,108.903327
-0.9,100,109.363237
1.874,14,109.42864
1.937,7,109.464211
1.946,6,109.492932
1.748,28,109.622276
1.919,9,109.664782
1.874,14,109.730191
1.856,16,109.804934
1.748,28,109.934407
-0.9,100,110.401945
1.883,13,110.462527
1.946,6,110.491276
1.964,4,110.510688
1.946,6,110.539325
1.946,6,110.568162
1.865,15,110.637748
-0.9,100,111.096326
1.946,6,111.124968
1.829,19,111.213216
1.964,4,111.232833
1.946,6,111.262278
1.883,13,111.323408
1.937,7,111.357162
1.838,18,111.442575
1.91,10,111.491417
1.82,20,111.585425
1.883,13,111.646194
1.811,21,111.743022
1.928,8,111.780801
1.838,18,111.864281
1.766,26,111.984498
1.748,28,112.114121
1.802,22,112.215951
1.847,17,112.295033
1.766,26,112.4153
1.892,12,112.475471
1.874,14,112.541266
1.721,31,112.687812
-0.9,100,113.15039
1.919,9,113.19311
1.919,9,113.23565
1.901,11,113.28731
1.874,14,113.352631
1.874,14,113.417614
-0.9,100,113.877436
1.721,31,114.02532
1.919,9,114.068717
