#{"t_start": 1674041875.913214, "env_id": null}
r,l,t
1.928,8,85.277589
1.955,5,85.303221
1.802,22,85.407189
1.955,5,85.4315
1.946,6,85.460156
1.946,6,85.488766
1.937,7,85.52191
-0.9,100,85.977435
1.919,9,86.019548
1.496,56,86.276304
1.937,7,86.309545
1.955,5,86.334545
1.739,29,86.471344
1.532,52,86.715651
1.829,19,86.806003
1.919,9,86.848387
1.766,26,86.968296
1.892,12,87.024281
1.892,12,87.080545
-0.9,100,87.535388
1.775,25,87.653246
1.874,14,87.719517
1.532,52,87.961944
1.766,26,88.082045
1.568,48,88.302628
1.874,14,88.367796
1.676,36,88.533441
1.928,8,88.571156
1.784,24,88.682021
1.784,24,88.792639
1.712,32,88.942825
1.703,33,89.09979
-0.9,100,89.555783
-0.9,100,90.011242
-0.9,100,90.47832
1.892,12,90.534698
1.892,12,90.590694
1.568,48,90.811358
1.955,5,90.835491
1.928,8,90.873289
1.802,22,90.975112
1.901,11,91.028712
1.838,18,91.112206
1.928,8,91.150246
-0.9,100,91.615117
1.901,11,91.667761
1.919,9,91.710063
-0.9,100,92.168476
1.352,72,92.498994
1.838,18,92.582451
1.748,28,92.714087
1.865,15,92.785393
1.577,47,93.005611
1.874,14,93.070744
1.847,17,93.149749
1.775,25,93.265523
-0.9,100,93.723721
1.919,9,93.765962
1.955,5,93.789943
1.883,13,93.851073
1.838,18,93.935885
1.946,6,93.965114
1.685,35,94.131437
1.874,14,94.197834
1.91,10,94.245145
-0.9,100,94.699043
1.874,14,94.764209
-0.9,100,95.225207
-0.9,100,95.686919
1.91,10,95.733808
1.784,24,95.844992
1.514,54,96.093032
1.919,9,96.135416
1.919,9,96.177689
1.901,11,96.229183
-0.9,100,96.69642
1.91,10,96.743608
1.91,10,96.790574
1.55,50,97.021004
1.91,10,97.067947
1.64,40,97.252174
1.883,13,97.312794
1.883,13,97.373459
-0.9,100,97.830938
1.784,24,97.945484
1.55,50,98.175464
1.757,27,98.300329
1.739,29,98.448089
-0.9,100,98.904823
1.64,40,99.093871
-0.9,100,99.55104
1.523,53,99.797898
1.874,14,99.86316
1.874,14,99.928316
1.874,14,99.993556
1.838,18,100.077017
1.874,14,100.143091
1.757,27,100.26972
1.721,31,100.416657
1.874,14,100.482272
1.73,30,100.620695
1.892,12,100.67679
-0.9,100,101.135999
1.874,14,101.201245
-0.9,100,101.666431
1.559,49,101.89205
1.901,11,101.943723
1.883,13,102.004228
1.883,13,102.064966
1.919,9,102.107216
1.919,9,102.149624
1.667,37,102.320359
1.928,8,102.35806
1.559,49,102.583369
-0.9,100,103.047665
1.856,16,103.122165
1.784,24,103.233431
1.586,46,103.445386
1.946,6,103.474107
1.937,7,103.507235
1.946,6,103.535904
1.757,27,103.660334
1.937,7,103.69356
1.73,30,103.831987
1.91,10,103.879317
1.928,8,103.920004
1.595,45,104.132248
-0.9,100,104.592284
1.946,6,104.83602
1.964,4,104.855485
1.946,6,104.884186
1.946,6,104.91283
-0.9,100,105.378977
1.928,8,105.417618
1.946,6,105.44677
1.91,10,105.494235
1.964,4,105.513641
1.946,6,105.542329
1.586,46,105.753959
1.937,7,105.787215
1.784,24,105.898384
1.847,17,105.977377
1.577,47,106.193513
1.91,10,106.240469
-0.9,100,106.704439
1.928,8,106.742941
1.856,16,106.817276
1.658,38,106.992261
1.766,26,107.112349
1.748,28,107.2415
1.829,19,107.329529
1.712,32,107.476854
1.892,12,107.533333
-0.9,100,107.995488
1.757,27,108.12018
-0.9,100,108.583493
1.91,10,108.630599
1.91,10,108.677604
1.892,12,108.733675
1.874,14,108.79878
1.901,11,108.850301
1.721,31,108.995544
-0.9,100,109.461674
1.919,9,109.504662
