#{"t_start": 1674041820.6649625, "env_id": null}
r,l,t
1.928,8,41.416493
1.955,5,41.44062
1.91,10,41.487499
1.955,5,41.511653
1.946,6,41.540264
1.946,6,41.568911
1.946,6,41.597572
1.928,8,41.635404
1.946,6,41.664022
1.928,8,41.701819
1.937,7,41.735016
1.955,5,41.759107
1.928,8,41.796896
1.928,8,41.834604
1.892,12,41.890889
1.928,8,41.928622
1.928,8,41.966372
1.901,11,42.01784
1.901,11,42.069487
1.901,11,42.120919
1.901,11,42.172349
1.883,13,42.232959
1.883,13,42.294725
1.874,14,42.361001
1.874,14,42.427756
1.874,14,42.495546
1.928,8,42.534471
1.928,8,42.57297
1.946,6,42.60183
-0.9,100,43.056392
1.928,8,43.094196
1.946,6,43.12287
1.883,13,43.185915
1.847,17,43.26489
1.892,12,43.320894
1.901,11,43.372309
1.883,13,43.432789
1.892,12,43.488892
1.955,5,43.513443
1.928,8,43.552017
1.919,9,43.594994
-0.9,100,44.056669
1.919,9,44.099053
1.928,8,44.136885
1.856,16,44.21126
1.919,9,44.25357
1.919,9,44.295881
-0.9,100,44.750433
1.901,11,44.803089
1.91,10,44.852223
1.901,11,44.905169
1.865,15,44.976832
1.928,8,45.015272
1.91,10,45.063345
1.919,9,45.106555
-0.9,100,45.559745
1.946,6,45.588417
1.919,9,45.631111
1.955,5,45.655234
1.901,11,45.706617
1.919,9,45.74916
1.946,6,45.777834
1.901,11,45.829231
1.883,13,45.889853
1.91,10,45.936723
1.874,14,46.001807
1.892,12,46.059103
1.892,12,46.116652
1.91,10,46.164405
1.91,10,46.213177
1.928,8,46.251915
1.901,11,46.306098
1.919,9,46.349401
1.919,9,46.392677
1.91,10,46.439532
1.901,11,46.49107
1.91,10,46.537927
1.919,9,46.58026
1.919,9,46.622602
1.91,10,46.669439
1.91,10,46.716367
1.883,13,46.776879
1.883,13,46.837451
1.892,12,46.893353
1.874,14,46.958553
1.892,12,47.014693
1.955,5,47.038815
1.937,7,47.072068
1.928,8,47.109998
1.937,7,47.143249
1.946,6,47.171962
1.901,11,47.223445
1.901,11,47.275164
1.883,13,47.336991
1.91,10,47.3846
1.919,9,47.427706
1.883,13,47.492767
1.874,14,47.560517
1.874,14,47.626865
1.883,13,47.687618
1.892,12,47.743527
1.91,10,47.790388
1.892,12,47.846413
1.883,13,47.907151
1.874,14,47.972334
1.901,11,48.023752
1.901,11,48.075141
1.883,13,48.136253
1.883,13,48.197297
1.91,10,48.244092
1.91,10,48.29096
1.892,12,48.346982
1.919,9,48.389455
1.901,11,48.440984
1.883,13,48.501559
1.928,8,48.539371
1.928,8,48.578391
1.91,10,48.626545
1.955,5,48.651106
1.946,6,48.680329
1.946,6,48.710356
1.946,6,48.739691
1.937,7,48.773761
1.91,10,48.823074
1.91,10,48.87091
1.919,9,48.913613
1.919,9,48.956263
-0.9,100,49.412589
1.946,6,49.441292
1.964,4,49.46082
1.946,6,49.489456
1.946,6,49.518193
1.928,8,49.555956
1.928,8,49.593841
1.937,7,49.627123
1.928,8,49.664867
1.964,4,49.684302
1.946,6,49.712971
1.919,9,49.755297
1.937,7,49.788518
-0.9,100,50.252918
1.91,10,50.299945
1.901,11,50.351384
1.91,10,50.398239
1.874,14,50.46355
1.928,8,50.501233
1.892,12,50.557311
1.892,12,50.6133
1.892,12,50.669446
1.874,14,50.734438
1.901,11,50.785945
-0.9,100,51.242737
1.892,12,51.30091
1.865,15,51.37248
1.883,13,51.433221
1.892,12,51.489391
1.919,9,51.531774
1.919,9,51.574086
1.901,11,51.625562
1.901,11,51.677029
1.901,11,51.728408
1.892,12,51.78697
1.883,13,51.847585
1.919,9,51.889974
